Name ,Identifier,Region ,Age,Sex,HR Size (ha),d13C,d15N,Associated Dry Food,Associated Wet Food,Part of Analysis?
Crash,H46,Midwest,16,Male,N/A,-14,7.06,DF34,N/A,N
Crash,H46_2,Midwest,16,Male,N/A,-14.04,6.54,DF34,N/A,N
Kitty Boy,H64,Midwest,6,Male,4,-15.41,7.48,DF40,WF11,N
Kitty Boy,H64_2,Midwest,6,Male,4,-15.48,7.32,DF40,WF11,N
Mr. Fatty Man,H83,Midwest,3,Male,N/A,-14.55,6.14,DF43,N/A,N
Mr. Fatty Man,H83_2,Midwest,3,Male,N/A,-14.55,5.67,DF43,N/A,N
Mama Cat,H88,Midwest,N/A,N/A,N/A,-14.71,5.82,DF86,N/A,N
Timothy,H89,Midwest,N/A,N/A,N/A,-14.71,6.15,DF87,N/A,N
Mia,H14,Mountain West,7,Female,20.7,-18.78,7.26,DF48,N/A,N
Mia,H14_2,Mountain West,7,Female,20.7,-18.75,6.8,DF48,N/A,N
Elmer,H20,Mountain West,7,Male,N/A,-18.43,11.04,DF23,N/A,N
Elmer,H20_2,Mountain West,7,Male,N/A,-18.26,6.78,DF23,N/A,N
Mr. Zippers,H35,Non-contiguous,6,Male,N/A,-17.91,6.32,DF53 and DF53_2,N/A,N
Mr. Zippers,H35_2,Non-contiguous,6,Male,N/A,-18.41,6.36,DF53 and DF53_2,N/A,N
Smokey C,H2,Northeast,6,Male,3.4,-18.24,6.58,DF30,"WF8, WF13, WF14, WF17, WF19, WF22, WF26, WF27 and WF28",N
Boo Boo Kitty,H8,Northeast,15,Female,0.2,-16.56,6.31,DF7 and DF7_2,"WF1, WF2, and WF3",N
Louie,H15,Northeast,8,Male,11.3,-14.77,6.5,DF45,N/A,N
Nikki,H19,Northeast,11,Female,7.1,-16.23,7.48,DF3,"WF13, WF14 and WF26",N
Starbuck,H23,Northeast,9,Male,1.1,-14.44,6.55,DF56,N/A,N
Milo,H28,Northeast,7,Male,1.2,-16.7,6.23,DF55,N/A,N
Lupe,H29,Northeast,7,Male,4,-16.09,6.52,DF41,N/A,N
Lupe,H29_2,Northeast,7,Male,4,-16.08,6.61,DF41,N/A,N
Bongo,H34,Northeast,7,Male,6.2,-15.77,6.8,DF2,N/A,N
Roukus,H44,Northeast,9,Female,12,-19.64,5.91,DF14,N/A,N
