Brand,Flavor,Identifier,Region,d13C,d15N,Price for bag/pack of cans,$/lb,$/can (WF),$/kg,Part of Analysis?
 Hill's,unknown flavor,DF40,Midwest,-19.12,4.29,$34.99 from Chewy.com for 15.5lb bag,$2.26,,$4.98,N
 Iams,Proactive Health- Healthy adult original,DF43,Midwest,-15.26,3.63,$22.50 from Chewy.com for 16lb bag,$1.41,,$3.10,N
 Paws and Claws ,Delish Mix,DF86,Midwest,-16.43,3.1,$8.99 from TSC for 16lb bag (only available from Tractor Supply Co.),$0.56,,$1.24,N
 Paws and Claws ,Delish Mix,DF87,Midwest,-15.86,3.23,$8.99 from TSC for 16lb bag (only available from Tractor Supply Co.),$0.56,,$1.24,N
 Purina,One- Vibrant Maturity 7+,DF34,Midwest,-19.5,3.73,$12.99 from Chewy.com for 7lb bag,$1.86,,$4.09,N
 Blue ,Wilderness- Indoor Cat Chicken,DF48,Mountain West,-20.19,4.74,$34.99 from Chewy.com for 15lb bag,$2.33,,$5.14,N
 Whole Earth Farms,Salmon,DF23,Mountain West,-22.34,5.49,$23.67 from Chewy.com for 10lb bag,$2.37,,$5.22,N
Honest Kitchen,"Chicken recipe powder (""prowl"", mixed with Canidae pure)",DF53,Non-contiguous,-20.32,3.26,$45.07 from Chewy.com for 4lb box (dehydrated food mix),$11.27,,$24.84,N
Honest Kitchen,"Chicken recipe powder (""prowl"", mixed with Canidae pure)",DF53_2,Non-contiguous,-20.24,3.1,$45.07 from Chewy.com for 4lb box (dehydrated food mix),$11.27,,$24.84,N
 Canidae,Chicken meal and rice,DF4,Northeast,-19.77,3.96,$34.99 from Chewy.com for 15lb bag,$2.33,,$5.14,N
Friskies,unknown flavor,DF10,Northeast,-15.21,4.75,$11.78 from Chewy.com for 16lb bag,$0.74,,$1.62,N
Friskies,Seafood Sensations,DF28,Northeast,-20.34,4.5,$11.78 from Chewy.com for 16lb bag,$0.74,,$1.62,N
Friskies,Seafood Sensations/Tender Crunchy Combo,DF24,Northeast,-14.83,3.92,$11.78 from Chewy.com for 16lb bag,$0.74,,$1.62,N
 Hill's,Science Diet Adult,DF30,Northeast,-19.73,4.82,$34.99 from Chewy.com for 15.5lb bag,$2.26,,$4.98,N
