Code,d13C,d15N
1,-22.0,7.7
1,-24.6,7.8
1,-25.8,7.5
1,-26.6,7.6
1,-26.7,7.2
1,-25.0,8.0
1,-27.3,7.5
1,-26.0,8.3
1,-29.9,8.9
1,-27.8,7.9
1,-25.9,7.5
1,-25.3,8.5
1,-21.5,8.0
1,-22.8,8.0
1,-27.0,7.4
1,-18.9,7.4
1,-23.5,6.4
1,-21.6,6.6
1,-26.3,7.5
1,-27.5,8.1
1,-26.1,7.0
1,-27.2,8.1
1,-27.3,7.1
1,-27.2,7.1
1,-27.3,6.9
1,-27.0,6.9
1,-27.0,6.8
1,-27.6,7.6
1,-27.0,7.1
1,-26.7,7.2
1,-27.2,7.5
1,-26.5,8.0
1,-26.2,7.0
1,-27.8,8.0
1,-25.8,7.2
1,-24.5,8.7
1,-23.1,7.9
1,-23.6,7.4
1,-25.8,9.1
1,-24.5,7.6
1,-23.1,8.3
1,-25.0,8.3
1,-24.2,7.1
1,-27.9,8.5
1,-25.6,8.1
1,-26.9,8.8
1,-26.0,6.7
1,-25.7,6.2
1,-25.6,6.8
1,-26.0,6.5
2,-17.7,5.7
2,-20.1,7.9
2,-15.7,6.6
2,-20.7,7.4
2,-19.2,6.1
2,-19.3,6.8
2,-20.5,5.6
2,-20.1,6.0
2,-21.0,5.8
2,-21.6,6.3
2,-21.7,6.9
2,-20.9,6.4
2,-20.0,6.5
2,-20.5,6.8
2,-19.9,6.1
2,-20.0,6.2
2,-23.0,6.7
2,-19.0,6.5
2,-19.2,7.3
2,-21.5,6.9
2,-21.2,6.4
2,-21.4,6.0
2,-19.6,5.8
2,-21.7,7.3
2,-19.8,7.3
2,-20.1,7.6
2,-18.3,8.4
2,-21.7,5.8
2,-21.0,7.2
2,-21.1,5.7
2,-20.0,5.9
2,-14.3,7.2
2,-16.1,7.1
2,-21.8,7.4
